// xccs unicode
0x00D2 0x00AE
0x00D3 0x00A9
0x00D4 0x2122
0x00D5 0x266A
0x00DC 0x215B
0x00DD 0x215C
0x00DE 0x215D
0x00DF 0x215E
0x00E0 0x2126
0x00E1 0x00C6
0x00E2 0x00D0
0x00E3 0x00AA
0x00E4 0x0126
0x00E5 0x0237
0x00E6 0x0132
0x00E7 0x013F
0x00E8 0x0141
0x00E9 0x00D8
0x00EA 0x0152
0x00EB 0x00BA
0x00EC 0x00DE
0x00ED 0x0166
0x00EE 0x014A
0x00EF 0x0149
0x00F0 0x0138
0x00F1 0x00E6
0x00F2 0x0111
0x00F3 0x00F0
0x00F4 0x0127
0x00F5 0x0131
0x00F6 0x0133
0x00F7 0x0140
0x00F8 0x0142
0x00F9 0x00F8
0x00FA 0x0153
0x00FB 0x00DF
0x00FC 0x00FE
0x00FD 0x0167
0x00FE 0x014B
0x2121 0x3000
0x2122 0x3001
0x2123 0x3002
0x2124 0xFF0C
0x2125 0xFF0E
0x212B 0x3099
0x212C 0x309A
0x2133 0x30FD
0x2134 0x30FE
0x2135 0x309D
0x2136 0x309E
0x2137 0x3003
0x2138 0x4EDD
0x2139 0x3005
0x213A 0x3006
0x213B 0xA9D0
0x213C 0x30FC
0x213E 0x2010
0x2140 0x22D6
0x2141 0x22D7
0x2142 0x2225
0x2143 0x22A9
0x2144 0x2026
0x2145 0x2025
0x2146 0x22D8
0x2147 0x22D9
0x2148 0x27EC
0x2149 0x27ED
0x214A 0x27E6
0x214B 0x27E7
0x214C 0x3014
0x214D 0x3015
0x214E 0x22DA
0x214F 0x22DB
0x2150 0x227A
0x2151 0x227B
0x2152 0x227C
0x2153 0x227D
0x2154 0x22DE
0x2155 0x22DF
0x2156 0x300C
0x2157 0x300D
0x2158 0x300E
0x2159 0x300F
0x215A 0x3010
0x215B 0x3011
0x215C 0x2AC5
0x215D 0x2AC6
0x215E 0x22D0
0x215F 0x22D1
0x2160 0x2A95
0x2161 0x2A96
0x2162 0x2260
0x2163 0x2A85
0x2164 0x2A86
0x2165 0x2264
0x2166 0x2265
0x2167 0x221E
0x2168 0x2234
0x2169 0x2642
0x216A 0x2640
0x216B 0x2034
0x216C 0x2032
0x216D 0x2033
0x216E 0x2103
0x216F 0x22AA
0x2170 0x2266
0x2171 0x2267
0x2172 0x2A7D
0x2173 0x2A7E
0x2174 0x22DA
0x2175 0x22DB
0x2176 0x2225
0x2177 0x229D
0x2178 0x229B
0x2179 0x2606
0x217A 0x2605
0x217B 0x25CB
0x217C 0x25CF
0x217D 0x25CE
0x217E 0x25C7
0x21A1 0x227E
0x21A2 0x227F
0x21A3 0x2AB7
0x21A4 0x2AB8
0x21A5 0x2323
0x21A6 0x2322
0x21A7 0x007C
0x21A8 0x2251
0x21A9 0x2257
0x21AA 0x2256
0x21AB 0x225C
0x21AC 0x22D4
0x21AD 0x2210
0x21AE 0x2720
0x21AF 0x25C7
0x21B0 0x2241
0x21B1 0x22E8
0x21B2 0x22E9
0x21B3 0x2AB9
0x21B4 0x2ABA
0x21B5 0x2224
0x21B6 0x2226
0x21B7 0x22AC
0x21B8 0x22AD
0x21B9 0x22AE
0x21BA 0x22AF
0x21BB 0x22EA
0x21BC 0x22EB
0x21BD 0x22EC
0x21BE 0x22ED
0x21BF 0x2244
0x21C0 0x2249
0x21C1 0x2ACB
0x21C2 0x2ACC
0x21C3 0x2288
0x21C4 0x2289
0x21C5 0x228A
0x21C6 0x228B
0x21C7 0x2ACB
0x21C8 0x2ACC
0x21C9 0x226E
0x21CA 0x226F
0x21CB 0x224C
0x21CC 0x2247
0x21D0 0x2280
0x21D1 0x2281
0x21D2 0x22E0
0x21D3 0x22E1
0x21D4 0x2AB5
0x21D5 0x2AB6
0x21D6 0x22E0
0x21D9 0x2274
0x21DA 0x2275
0x21E0 0x2270
0x21E1 0x2271
0x21E2 0x2A87
0x21E3 0x2A88
0x21E4 0x22E6
0x21E5 0x22E7
0x21E6 0x2270
0x21E7 0x2271
0x21EE 0x22E2
0x21EF 0x22E3
0x21F0 0x2270
0x21F1 0x2271
0x21F2 0x2268
0x21F3 0x2269
0x21F4 0x2268
0x21F5 0x2269
0x2221 0x25C6
0x2222 0x25A1
0x2223 0x25A0
0x2224 0x25B3
0x2225 0x25B2
0x2226 0x25BD
0x2227 0x25BC
0x2228 0x203B
0x2229 0x3012
0x222A 0x2018
0x222B 0x2032
0x222C 0x2033
0x222E 0x3013
0x222F 0x229E
0x2230 0x229F
0x2231 0x22A0
0x2232 0x22A1
0x2234 0x226D
0x2238 0x300A
0x2239 0x300B
0x223C 0x2042
0x223D 0x2125
0x223E 0x2031
0x2240 0x21C7
0x2241 0x21C9
0x2242 0x21C8
0x2243 0x21CA
0x2244 0x21DA
0x2245 0x21DB
0x2246 0x219E
0x2247 0x21A0
0x2248 0x21BF
0x2249 0x21C3
0x224A 0x21BE
0x224B 0x21C2
0x224C 0x21A2
0x224D 0x21A3
0x224E 0x21AB
0x224F 0x21AC
0x2250 0x21B0
0x2251 0x21B1
0x2252 0x21AD
0x2253 0x22B8
0x2254 0x2254
0x2255 0x2255
0x2256 0x21BC
0x2257 0x21BD
0x2258 0x21C0
0x2259 0x21C1
0x225A 0x21AA
0x225B 0x21A9
0x225C 0x27F5
0x225D 0x27F6
0x225E 0x27F8
0x225F 0x27F9
0x2260 0x21D1
0x2261 0x21D3
0x2262 0x2252
0x2263 0x2253
0x2264 0x224D
0x2265 0x2AAF
0x2266 0x2AB0
0x2267 0x27F7
0x2268 0x27FA
0x2269 0x27FA
0x226A 0x222C
0x226B 0x21A6
0x226C 0x22C8
0x226D 0x2B51
0x226E 0x266E
0x226F 0x2323
0x2270 0x25B5
0x2271 0x226A
0x2272 0x226B
0x2273 0x2295
0x2274 0x2296
0x2275 0x2297
0x2276 0x2298
0x2277 0x223C
0x2278 0x2248
0x2279 0x221D
0x227B 0x25BF
0x227C 0x2127
0x227D 0x2240
0x227E 0x25EF
0x22A2 0x2261
0x22A3 0x2359
0x22A4 0x2378
0x22A5 0x2377
0x22A6 0x2118
0x22A7 0x2205
0x22A8 0x211C
0x22A9 0x2111
0x22AA 0x22A4
0x22AB 0x228E
0x22AC 0x22A7
0x22AD 0x2294
0x22AE 0x2293
0x22AF 0x228E
0x22B0 0x2291
0x22B1 0x2292
0x22B2 0x2227
0x22B3 0x2228
0x22B4 0x25B4
0x22B5 0x25BE
0x22B6 0x2294
0x22B7 0x2210
0x22B8 0x2222
0x22B9 0x220D
0x22BA 0x22F7
0x22BB 0x25B9
0x22BC 0x25C3
0x22BD 0x2299
0x22BE 0x223D
0x22C0 0x005E
0x22DB 0x23A2
0x22DC 0x23A5
0x22DF 0x25AF
0x22E7 0x211A
0x22E8 0x210D
0x22EA 0x2295
0x22EB 0x2297
0x22EC 0x2299
0x22ED 0x20A4
0x22EE 0x21B2
0x22EF 0x21B3
0x22F0 0x2219
0x22F1 0x231C
0x22F2 0x231D
0x22F3 0x231E
0x22F4 0x231F
0x22F5 0x229A
0x2322 0x00A8
0x2323 0x00B4
0x2324 0x00AF
0x2325 0x02D8
0x2326 0x02D9
0x2327 0x0027
0x2328 0x02DA
0x2329 0x02DD
0x232A 0x02DB
0x232B 0x02C7
0x232C 0x00B8
0x2330 0x00B7
0x2331 0x0340
0x2332 0x0341
0x2333 0x0302
0x2334 0x0303
0x2335 0x0304
0x2336 0x0306
0x2337 0x0307
0x2338 0x0308
0x233A 0x030A
0x233B 0x0327
0x233D 0x030B
0x233E 0x0328
0x233F 0x030C
0x2340 0x018E
0x2341 0x0181
0x2342 0x018A
0x2343 0x0198
0x2344 0x01A0
0x2345 0x01AF
0x2346 0x018F
0x2347 0x01A2
0x2348 0x01B5
0x234C 0x019F
0x234E 0x0190
0x234F 0x0194
0x2350 0x0196
0x2351 0x0186
0x2352 0x01A9
0x2353 0x01B2
0x2354 0x01B7
0x2355 0x01B8
0x2356 0x0187
0x2357 0x0191
0x2358 0x01A4
0x2359 0x01AC
0x235A 0x01B3
0x235D 0x019D
0x2360 0x0060
0x2361 0x0253
0x2362 0x0257
0x2363 0x0199
0x2364 0x01A1
0x2365 0x01B0
0x2366 0x01DD
0x2367 0x01A3
0x2368 0x01B6
0x2369 0x01BF
0x236A 0x019A
0x236C 0x0275
0x2375 0x01B9
0x2376 0x0188
0x2377 0x0192
0x2378 0x01A5
0x2379 0x01AD
0x237A 0x01B4
0x237E 0x203E
0x23A1 0x02BF
0x23A2 0x2018
0x23A4 0x01C2
0x23A5 0x01C3
0x23A6 0x01C0
0x23A7 0x01C1
0x23A9 0x0180
0x23AA 0x0193
0x23AB 0x0195
0x23AC 0x266D
0x23AE 0x2117
0x23AF 0x2125
0x23B0 0x02BC
0x23B1 0x02BB
0x23B2 0x201A
0x23B3 0x0361
0x23B8 0x20D7
0x23B9 0x0338
0x23BA 0x0302
0x23BB 0x0303
0x23BC 0x266F
0x23BD 0x02B9
0x23BE 0x02BA
0x23BF 0x0311
0x23C0 0x0309
0x23C1 0x0337
0x23C2 0x20E1
0x23C3 0x0305
0x23C5 0x0300
0x23C6 0x0301
0x23C8 0x20D6
0x23C9 0x0308
0x23CA 0x030D
0x23CB 0x0315
0x23CC 0x0312
0x23CE 0x031B
0x23CF 0x0335
0x23D0 0x030E
0x23D1 0x0328
0x23D2 0x0327
0x23D3 0x0326
0x23D4 0x0325
0x23D5 0x032E
0x23D6 0x0323
0x23D7 0x0324
0x23D8 0x0330
0x23D9 0x0333
0x23DA 0x0329
0x23DB 0x032D
0x23DC 0x0331
0x23DD 0xFE20
0x23DE 0xFE21
0x23DF 0xFE23
0x23E0 0x20D1
0x23E2 0x030F
0x23F0 0x033F
0x23F1 0x0310
0x23F4 0x0314
0x23F5 0x0316
0x23F6 0x0317
0x23F7 0x0318
0x23F8 0x0319
0x23F9 0x031A
0x23FA 0x032F
0x23FB 0x0336
0x23FC 0x0339
0x23FD 0x033A
0x23FE 0x033B
0x2421 0x3041
0x2422 0x3042
0x2423 0x3043
0x2424 0x3044
0x2425 0x3045
0x2426 0x3046
0x2427 0x3047
0x2428 0x3048
0x2429 0x3049
0x242A 0x304A
0x242B 0x304B
0x242C 0x304C
0x242D 0x304D
0x242E 0x304E
0x242F 0x304F
0x2430 0x3050
0x2431 0x3051
0x2432 0x3052
0x2433 0x3053
0x2434 0x3054
0x2435 0x3055
0x2436 0x3056
0x2437 0x3057
0x2438 0x3058
0x2439 0x3059
0x243A 0x305A
0x243B 0x305B
0x243C 0x305C
0x243D 0x305D
0x243E 0x305E
0x243F 0x305F
0x2440 0x3060
0x2441 0x3061
0x2442 0x3062
0x2443 0x3063
0x2444 0x3064
0x2445 0x3065
0x2446 0x3066
0x2447 0x3067
0x2448 0x3068
0x2449 0x3069
0x244A 0x306A
0x244B 0x306B
0x244C 0x306C
0x244D 0x306D
0x244E 0x306E
0x244F 0x306F
0x2450 0x3070
0x2451 0x3071
0x2452 0x3072
0x2453 0x3073
0x2454 0x3074
0x2455 0x3075
0x2456 0x3076
0x2457 0x3077
0x2458 0x3078
0x2459 0x3079
0x245A 0x307A
0x245B 0x307B
0x245C 0x307C
0x245D 0x307D
0x245E 0x307E
0x245F 0x307F
0x2460 0x3080
0x2461 0x3081
0x2462 0x3082
0x2463 0x3083
0x2464 0x3084
0x2465 0x3085
0x2466 0x3086
0x2467 0x3087
0x2468 0x3088
0x2469 0x3089
0x246A 0x308A
0x246B 0x308B
0x246C 0x308C
0x246D 0x308D
0x246E 0x308E
0x246F 0x308F
0x2470 0x3090
0x2471 0x3091
0x2472 0x3092
0x2473 0x3093
0x24A1 0x3105
0x24A2 0x3106
0x24A3 0x3107
0x24A4 0x3108
0x24A5 0x3109
0x24A6 0x310A
0x24A7 0x310B
0x24A8 0x310C
0x24A9 0x310D
0x24AA 0x310E
0x24AB 0x310F
0x24AC 0x3110
0x24AD 0x3111
0x24AE 0x3112
0x24AF 0x3113
0x24B0 0x3114
0x24B1 0x3115
0x24B2 0x3116
0x24B3 0x3117
0x24B4 0x3118
0x24B5 0x3119
0x24B6 0x311A
0x24B7 0x311B
0x24B8 0x311C
0x24B9 0x311D
0x24BA 0x311E
0x24BB 0x311F
0x24BC 0x3120
0x24BD 0x3121
0x24BE 0x3122
0x24BF 0x3123
0x24C0 0x3124
0x24C1 0x3125
0x24C2 0x3126
0x24C3 0x3127
0x24C4 0x3128
0x24C5 0x3129
0x24C6 0x02CA
0x24C7 0x02C7
0x24C8 0x02CB
0x24C9 0x02D9
0x24CA 0x02C9
0x24CB 0x312B
0x24CC 0x312A
0x24CD 0x312C
0x2521 0x30A1
0x2522 0x30A2
0x2523 0x30A3
0x2524 0x30A4
0x2525 0x30A5
0x2526 0x30A6
0x2527 0x30A7
0x2528 0x30A8
0x2529 0x30A9
0x252A 0x30AA
0x252B 0x30AB
0x252C 0x30AC
0x252D 0x30AD
0x252E 0x30AE
0x252F 0x30AF
0x2530 0x30B0
0x2531 0x30B1
0x2532 0x30B2
0x2533 0x30B3
0x2534 0x30B4
0x2535 0x30B5
0x2536 0x30B6
0x2537 0x30B7
0x2538 0x30B8
0x2539 0x30B9
0x253A 0x30BA
0x253B 0x30BB
0x253C 0x30BC
0x253D 0x30BD
0x253E 0x30BE
0x253F 0x30BF
0x2540 0x30C0
0x2541 0x30C1
0x2542 0x30C2
0x2543 0x30C3
0x2544 0x30C4
0x2545 0x30C5
0x2546 0x30C6
0x2547 0x30C7
0x2548 0x30C8
0x2549 0x30C9
0x254A 0x30CA
0x254B 0x30CB
0x254C 0x30CC
0x254D 0x30CD
0x254E 0x30CE
0x254F 0x30CF
0x2550 0x30D0
0x2551 0x30D1
0x2552 0x30D2
0x2553 0x30D3
0x2554 0x30D4
0x2555 0x30D5
0x2556 0x30D6
0x2557 0x30D7
0x2558 0x30D8
0x2559 0x30D9
0x255A 0x30DA
0x255B 0x30DB
0x255C 0x30DC
0x255D 0x30DD
0x255E 0x30DE
0x255F 0x30DF
0x2560 0x30E0
0x2561 0x30E1
0x2562 0x30E2
0x2563 0x30E3
0x2564 0x30E4
0x2565 0x30E5
0x2566 0x30E6
0x2567 0x30E7
0x2568 0x30E8
0x2569 0x30E9
0x256A 0x30EA
0x256B 0x30EB
0x256C 0x30EC
0x256D 0x30ED
0x256E 0x30EE
0x256F 0x30EF
0x2570 0x30F0
0x2571 0x30F1
0x2572 0x30F2
0x2573 0x30F3
0x2574 0x30F4
0x2575 0x30F5
0x2576 0x30F6
0x2577 0x30F7
0x2578 0x30F8
0x2579 0x30F9
0x257A 0x30FA
0x257B 0x30FB
0x2622 0x037E
0x2623 0x0343
0x2624 0x0384
0x2625 0x0313
0x2626 0x0314
0x2627 0x0345
0x2629 0x1FDE
0x262A 0x1FDD
0x262B 0x0385
0x262C 0x1FDF
0x262D 0x1FC0
0x262E 0x1FFD
0x262F 0x1FEF
0x2630 0x03F2
0x2631 0x0384
0x2632 0x037A
0x2633 0x1FBD
0x2634 0x0374
0x2635 0x0375
0x2636 0x1FEE
0x2637 0x1FED
0x2639 0x1FCE
0x263A 0x1FCD
0x263B 0x0387
0x263C 0x1FCF
0x263D 0x1FC1
0x263E 0x1FBF
0x263F 0x1FFE
0x2640 0x03DE
0x2641 0x0391
0x2642 0x0392
0x2644 0x0393
0x2645 0x0394
0x2646 0x0395
0x2647 0x03DA
0x2648 0x03DC
0x2649 0x0396
0x264A 0x0397
0x264B 0x0398
0x264C 0x0399
0x264D 0x039A
0x264E 0x039B
0x264F 0x039C
0x2650 0x039D
0x2651 0x039E
0x2652 0x039F
0x2653 0x03A0
0x2654 0x03D8
0x2655 0x03A1
0x2656 0x03A3
0x2658 0x03A4
0x2659 0x03A5
0x265A 0x03A6
0x265B 0x03A7
0x265C 0x03A8
0x265D 0x03A9
0x265E 0x03E0
0x2660 0x03DF
0x2661 0x03B1
0x2662 0x03B2
0x2663 0x03D0
0x2664 0x03B3
0x2665 0x03B4
0x2666 0x03B5
0x2667 0x03DB
0x2668 0x03DD
0x2669 0x03B6
0x266A 0x03B7
0x266B 0x03B8
0x266C 0x03B9
0x266D 0x03BA
0x266E 0x03BB
0x266F 0x03BC
0x2670 0x03BD
0x2671 0x03BE
0x2672 0x03BF
0x2673 0x03C0
0x2674 0x03D9
0x2675 0x03C1
0x2676 0x03C3
0x2677 0x03C2
0x2678 0x03C4
0x2679 0x03C5
0x267A 0x03C6
0x267B 0x03C7
0x267C 0x03C8
0x267D 0x03C9
0x267E 0x03E1
0x26B0 0x03E9
0x26B1 0x03EB
0x26B2 0x03ED
0x26B3 0x03EF
0x26C0 0x0344
0x26C1 0x1FDE
0x26C2 0x1FCE
0x26C3 0x1FDF
0x26C4 0x1FCF
0x26C5 0x0301
0x26C6 0x0300
0x26C7 0x0342
0x26C8 0x1FDE
0x26C9 0x1FDD
0x26CA 0x1FCE
0x26CB 0x1FCD
0x26CC 0x0308
0x26CD 0x0385
0x26CE 0x1FED
0x26CF 0x1FC1
0x26D0 0x0386
0x26D1 0x0388
0x26D2 0x0389
0x26D3 0x038A
0x26D4 0x038C
0x26D5 0x038E
0x26D6 0x038F
0x26D7 0x03AA
0x26D8 0x03AB
0x26DC 0x03E2
0x26DD 0x03E4
0x26DE 0x03E6
0x26E0 0x03D3
0x26E1 0x03D4
0x26F0 0x03AC
0x26F1 0x03AD
0x26F2 0x03AE
0x26F3 0x03AF
0x26F4 0x03CC
0x26F5 0x03CD
0x26F6 0x03CE
0x26F7 0x03CA
0x26F8 0x03CB
0x26F9 0x0390
0x26FA 0x03B0
0x26FB 0x03F3
0x26FC 0x03E3
0x26FD 0x03E5
0x26FE 0x03E7
0x2721 0x0410
0x2722 0x0411
0x2723 0x0412
0x2724 0x0413
0x2725 0x0414
0x2726 0x0415
0x2727 0x0401
0x2728 0x0416
0x2729 0x0417
0x272A 0x0418
0x272B 0x0419
0x272C 0x041A
0x272D 0x041B
0x272E 0x041C
0x272F 0x041D
0x2730 0x041E
0x2731 0x041F
0x2732 0x0420
0x2733 0x0421
0x2734 0x0422
0x2735 0x0423
0x2736 0x0424
0x2737 0x0425
0x2738 0x0426
0x2739 0x0427
0x273A 0x0428
0x273B 0x0429
0x273C 0x042A
0x273D 0x042B
0x273E 0x042C
0x273F 0x042D
0x2740 0x042E
0x2741 0x042F
0x2742 0x0490
0x2743 0x0402
0x2744 0x0403
0x2745 0x0404
0x2746 0x0405
0x2747 0x0406
0x2748 0x0407
0x2749 0x0408
0x274A 0x0409
0x274B 0x040A
0x274C 0x040B
0x274D 0x040C
0x274E 0x040E
0x2751 0x0430
0x2752 0x0431
0x2753 0x0432
0x2754 0x0433
0x2755 0x0434
0x2756 0x0435
0x2757 0x0451
0x2758 0x0436
0x2759 0x0437
0x275A 0x0438
0x275B 0x0439
0x275C 0x043A
0x275D 0x043B
0x275E 0x043C
0x275F 0x043D
0x2760 0x043E
0x2761 0x043F
0x2762 0x0440
0x2763 0x0441
0x2764 0x0442
0x2765 0x0443
0x2766 0x0444
0x2767 0x0445
0x2768 0x0446
0x2769 0x0447
0x276A 0x0448
0x276B 0x0449
0x276C 0x044A
0x276D 0x044B
0x276E 0x044C
0x276F 0x044D
0x2770 0x044E
0x2771 0x044F
0x2772 0x0491
0x2773 0x0452
0x2774 0x0453
0x2775 0x0454
0x2776 0x0455
0x2777 0x0456
0x2778 0x0457
0x2779 0x0458
0x277A 0x0459
0x277B 0x045A
0x277C 0x045B
0x277D 0x045C
0x277E 0x045E
0x27A1 0x040F
0x27A2 0x0462
0x27A3 0x0472
0x27A4 0x0474
0x27A5 0x046A
0x27A6 0x051A
0x27A7 0x051C
0x27A8 0x04AE
0x27AA 0x04D2
0x27AB 0x04D0
0x27AC 0x04D4
0x27AD 0x0492
0x27AE 0x0494
0x27B0 0x04D6
0x27B1 0x04DC
0x27B2 0x0496
0x27B3 0x04DE
0x27B4 0x0498
0x27B6 0x04E4
0x27B7 0x04E2
0x27B8 0x049A
0x27BA 0x049C
0x27BB 0x04A0
0x27BC 0x049E
0x27BD 0x04A2
0x27BE 0x04A4
0x27C0 0x04E6
0x27C2 0x04A6
0x27C3 0x04AA
0x27C5 0x04AC
0x27C6 0x04B4
0x27C8 0x04F0
0x27C9 0x04F2
0x27CB 0x04EE
0x27CC 0x04B2
0x27CD 0x04FC
0x27CE 0x04F4
0x27CF 0x04C0
0x27D1 0x045F
0x27D2 0x0463
0x27D3 0x0473
0x27D4 0x0475
0x27D5 0x046B
0x27D6 0x051B
0x27D7 0x051D
0x27D8 0x04AF
0x27DA 0x04D3
0x27DB 0x04D1
0x27DC 0x04D5
0x27DD 0x0493
0x27DE 0x0495
0x27E0 0x04D7
0x27E1 0x04DD
0x27E2 0x0497
0x27E3 0x04DF
0x27E4 0x0499
0x27E6 0x04E5
0x27E7 0x04E3
0x27E8 0x049B
0x27EA 0x049D
0x27EB 0x04A1
0x27EC 0x049F
0x27ED 0x04A3
0x27EE 0x04A5
0x27F0 0x04E7
0x27F2 0x04A7
0x27F3 0x04AB
0x27F5 0x04AD
0x27F6 0x04B5
0x27F8 0x04F1
0x27F9 0x04F3
0x27FB 0x04EF
0x27FC 0x04B3
0x27FD 0x04FD
0x27FE 0x04F5
0x2821 0x2500
0x2822 0x2502
0x2823 0x250C
0x2824 0x2510
0x2825 0x2518
0x2826 0x2514
0x2827 0x251C
0x2828 0x252C
0x2829 0x2524
0x282A 0x2534
0x282B 0x253C
0x282C 0x2501
0x282D 0x2503
0x282E 0x250F
0x282F 0x2513
0x2830 0x251B
0x2831 0x2517
0x2832 0x2523
0x2833 0x2533
0x2834 0x252B
0x2835 0x253B
0x2836 0x254B
0x2837 0x2520
0x2838 0x252F
0x2839 0x2528
0x283A 0x2537
0x283B 0x253F
0x283C 0x251D
0x283D 0x2530
0x283E 0x2525
0x283F 0x2538
0x2840 0x2542
0x2841 0x254E
0x2842 0x254F
0x2843 0x2549
0x2844 0x2547
0x2845 0x2548
0x2846 0x254A
0x2847 0x254C
0x2849 0x250E
0x284A 0x2512
0x284B 0x251A
0x284C 0x2516
0x284D 0x250D
0x284E 0x2511
0x284F 0x2519
0x2850 0x2561
0x2851 0x2562
0x2852 0x2556
0x2853 0x2555
0x2854 0x2563
0x2855 0x2551
0x2856 0x2557
0x2857 0x255D
0x2858 0x255C
0x2859 0x255B
0x285A 0x255E
0x285B 0x255F
0x285C 0x255A
0x285D 0x2554
0x285E 0x2569
0x285F 0x2566
0x2860 0x2560
0x2861 0x2550
0x2862 0x256C
0x2863 0x2567
0x2864 0x2568
0x2865 0x2564
0x2866 0x2565
0x2867 0x2559
0x2868 0x2558
0x2869 0x2552
0x286A 0x2553
0x286B 0x256B
0x286C 0x256A
0x287B 0x2515
0x28CC 0x251E
0x28CD 0x251F
0x28CE 0x2521
0x28CF 0x2522
0x28D0 0x2504
0x28D1 0x2505
0x28D2 0x2506
0x28D3 0x2507
0x28D4 0x2508
0x28D5 0x2509
0x28D6 0x250A
0x28D7 0x250B
0x28D8 0x254D
0x28D9 0x256D
0x28DA 0x256E
0x28DB 0x256F
0x28DC 0x2570
0x28DD 0x2571
0x28DE 0x2572
0x28DF 0x2588
0x2922 0x16A0
0x2924 0x16A2
0x2927 0x16A6
0x292B 0x16A8
0x2932 0x16B1
0x2935 0x16B2
0x2937 0x16B4
0x293A 0x16B7
0x293B 0x16B5
0x293D 0x16B9
0x293F 0x16BA
0x2940 0x16BB
0x2944 0x16BC
0x2947 0x16BE
0x294A 0x16BF
0x294B 0x16C1
0x294C 0x16C3
0x2956 0x16C7
0x2959 0x16C8
0x296F 0x16CF
0x2970 0x16D0
0x2972 0x16D2
0x2977 0x16D6
0x2978 0x16D7
0x297A 0x16D8
0x297C 0x16D9
0x297E 0x16DA
0x297F 0x16DC
0x29A2 0x16DD
0x29A3 0x16DF
0x29A5 0x16AD
0x29A6 0x16AE
0x29A7 0x16DE
0x29A8 0x16D1
0x29A9 0x16C5
0x29AA 0x16AF
0x29AB 0x16A9
0x29AD 0x16F1
0x29AF 0x16AA
0x29B1 0x16AB
0x29B2 0x16A4
0x29B5 0x16A3
0x29B6 0x16E0
0x29B8 0x16E1
0x2A21 0x04B6
0x2A22 0x04CB
0x2A23 0x04B8
0x2A2B 0x04F8
